feature,element_id,element_name,mdi_importance,permutation_importance,permutation_metric,corr_with_pred_share,direction_sign,direction_label
4.A.3.a.2,4.A.3.a.2,Handling and Moving Objects,0.1898814593738723,0.21055672910089718,r2,-0.6475110538423969,-1,decreases_teleworkability
4.A.3.a.3,4.A.3.a.3,Controlling Machines and Processes,0.07903193865144796,0.05674147699733619,r2,-0.5762925528714659,-1,decreases_teleworkability
4.A.4.a.5,4.A.4.a.5,Assisting and Caring for Others,0.06071218915868176,0.07300126737480106,r2,-0.4309098632144967,-1,decreases_teleworkability
4.A.3.b.1,4.A.3.b.1,Working with Computers,0.0430938731574979,0.031674458624522076,r2,0.42517992575273234,1,increases_teleworkability
4.A.3.a.1,4.A.3.a.1,Performing General Physical Activities,0.041050306038976234,0.01663343365175768,r2,-0.6311326470247101,-1,decreases_teleworkability
1.A.2.b.2,1.A.2.b.2,Multilimb Coordination,0.02193084158920018,0.00877211795777666,r2,-0.5833583003817852,-1,decreases_teleworkability
1.A.2.b.3,1.A.2.b.3,Response Orientation,0.02178294384231414,0.013407334437012152,r2,-0.5440717782507536,-1,decreases_teleworkability
1.A.3.b.1,1.A.3.b.1,Stamina,0.021524167330043344,0.006687627394315743,r2,-0.5913979515304357,-1,decreases_teleworkability
1.A.4.b.1,1.A.4.b.1,Hearing Sensitivity,0.018716054903232634,0.013358598408240007,r2,-0.3786193255751276,-1,decreases_teleworkability
1.A.3.c.3,1.A.3.c.3,Gross Body Coordination,0.018239558119039746,0.00673020918303735,r2,-0.5845186328183212,-1,decreases_teleworkability
4.A.2.b.2,4.A.2.b.2,Thinking Creatively,0.017375248954115463,0.017415359748281612,r2,0.28915149520640065,1,increases_teleworkability
4.A.4.b.3,4.A.4.b.3,Training and Teaching Others,0.017251199450311817,0.017168142165212175,r2,-0.06806086508712844,-1,decreases_teleworkability
4.A.4.a.3,4.A.4.a.3,Communicating with People Outside the Organization,0.016259297052416726,0.016620263352005126,r2,0.2620943525753219,1,increases_teleworkability
4.A.1.a.1,4.A.1.a.1,Getting Information,0.01598854285490455,0.011674742436166063,r2,0.2690825019172528,1,increases_teleworkability
1.A.3.a.2,1.A.3.a.2,Explosive Strength,0.015384964917576812,0.008523354693165997,r2,-0.5131654114488582,-1,decreases_teleworkability
2.B.4.g,2.B.4.g,Systems Analysis,0.014708396720562567,0.017365414204570006,r2,0.32516636817017064,1,increases_teleworkability
1.A.3.a.4,1.A.3.a.4,Trunk Strength,0.011929104574767977,0.0064137185725832825,r2,-0.4313158618735302,-1,decreases_teleworkability
4.A.2.a.2,4.A.2.a.2,Processing Information,0.011515037487891962,0.007575751907072714,r2,0.24081566391876985,1,increases_teleworkability
2.B.3.e,2.B.3.e,Programming,0.010490153891498186,0.01107945651192952,r2,0.36792029041587254,1,increases_teleworkability
4.A.4.c.2,4.A.4.c.2,Staffing Organizational Units,0.010292674754906233,0.009894149329052115,r2,0.13125988368532157,1,increases_teleworkability
4.A.2.b.3,4.A.2.b.3,Updating and Using Relevant Knowledge,0.010073256823852865,0.00844749851929254,r2,0.25254275647665025,1,increases_teleworkability
4.A.2.b.6,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",0.009426048929987434,0.008789893639350422,r2,0.2522661821977789,1,increases_teleworkability
2.B.1.a,2.B.1.a,Social Perceptiveness,0.00934770618218163,0.007233653848877575,r2,-0.0424736274431044,-1,decreases_teleworkability
1.A.2.b.1,1.A.2.b.1,Control Precision,0.00906622502829835,0.0020323502808633044,r2,-0.4236566754982441,-1,decreases_teleworkability
1.A.2.b.4,1.A.2.b.4,Rate Control,0.008752041551506853,0.002835493567886771,r2,-0.4973854883468959,-1,decreases_teleworkability
1.A.2.a.3,1.A.2.a.3,Finger Dexterity,0.00808934398093282,0.004416235088136966,r2,-0.36703013892985525,-1,decreases_teleworkability
4.A.4.b.6,4.A.4.b.6,Providing Consultation and Advice to Others,0.007402849256410521,0.004916532450968414,r2,0.23777068712515523,1,increases_teleworkability
4.A.3.b.2,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.007294090166382844,0.0077983226990587014,r2,-0.08080240661240866,-1,decreases_teleworkability
4.A.1.b.1,4.A.1.b.1,"Identifying Objects, Actions, and Events",0.0072910988684410675,0.0048763200335873004,r2,-0.030773258904968133,-1,decreases_teleworkability
4.A.4.a.1,4.A.4.a.1,Interpreting the Meaning of Information for Others,0.007143874199494506,0.004145701637329113,r2,0.2307002543308781,1,increases_teleworkability
1.A.2.c.2,1.A.2.c.2,Wrist-Finger Speed,0.007057316867616614,0.005136726170131767,r2,-0.28024653076582834,-1,decreases_teleworkability
4.A.4.a.2,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",0.006822872612762839,0.005648830486099599,r2,0.07441641263587224,1,increases_teleworkability
4.A.1.b.3,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.006352555502833543,0.003982167528084157,r2,0.11953041553977188,1,increases_teleworkability
4.A.4.a.7,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,0.006160651552481734,0.003848979404583064,r2,0.036554905426756996,1,increases_teleworkability
4.A.4.a.4,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,0.006033252272137622,0.004257866025640877,r2,0.14665084140357243,1,increases_teleworkability
4.A.4.a.8,4.A.4.a.8,Performing for or Working Directly with the Public,0.005818943423796478,0.0032067900805531234,r2,-0.22320047540985863,-1,decreases_teleworkability
4.A.4.b.4,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",0.005766395589374878,0.0029252407902848445,r2,0.08227984785302875,1,increases_teleworkability
4.A.4.c.1,4.A.4.c.1,Performing Administrative Activities,0.005584423425181159,0.0032627984406424226,r2,-0.17887987734265123,-1,decreases_teleworkability
4.A.2.b.4,4.A.2.b.4,Developing Objectives and Strategies,0.005558199793374569,0.0036099665179990413,r2,0.17987759769024841,1,increases_teleworkability
1.A.4.b.2,1.A.4.b.2,Auditory Attention,0.005431633750053368,0.004157635139455651,r2,-0.409425361317919,-1,decreases_teleworkability
1.A.1.e.3,1.A.1.e.3,Perceptual Speed,0.005226038262380762,0.004747383875412436,r2,-0.12739554364456085,-1,decreases_teleworkability
1.A.1.e.2,1.A.1.e.2,Flexibility of Closure,0.004752647846350945,0.0038179642676578474,r2,0.02214384794191633,1,increases_teleworkability
4.A.2.b.5,4.A.2.b.5,Scheduling Work and Activities,0.004467152452297384,0.002238924056692759,r2,-0.0190576095356627,-1,decreases_teleworkability
2.A.2.c,2.A.2.c,Learning Strategies,0.004430743391100332,0.0025841871347014878,r2,0.055029546740081585,1,increases_teleworkability
4.A.4.b.2,4.A.4.b.2,Developing and Building Teams,0.00437896210627894,0.0038958844691981743,r2,0.13407330587670982,1,increases_teleworkability
1.A.1.e.1,1.A.1.e.1,Speed of Closure,0.004355294096297646,0.004313388184979205,r2,0.038340524500487715,1,increases_teleworkability
4.A.2.a.4,4.A.2.a.4,Analyzing Data or Information,0.004323024416501857,0.003169627449936707,r2,0.3109228209605082,1,increases_teleworkability
4.A.2.a.3,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,0.0042714208202147075,0.003456505996479853,r2,0.015413688120881511,1,increases_teleworkability
1.A.1.c.2,1.A.1.c.2,Number Facility,0.004251316879207561,0.0031955806321702475,r2,0.17720912718140766,1,increases_teleworkability
2.B.4.e,2.B.4.e,Judgment and Decision Making,0.0042481482383240985,0.003206495280432009,r2,0.21697054321625775,1,increases_teleworkability
4.A.3.b.6,4.A.3.b.6,Documenting/Recording Information,0.00422424993536178,0.003018124559296509,r2,-0.21829446806372188,-1,decreases_teleworkability
1.A.3.a.3,1.A.3.a.3,Dynamic Strength,0.004172264669178836,0.001811511684122169,r2,-0.4614030511644536,-1,decreases_teleworkability
4.A.4.c.3,4.A.4.c.3,Monitoring and Controlling Resources,0.004083983331975848,0.0029883929500597816,r2,0.04035643327698461,1,increases_teleworkability
1.A.4.b.4,1.A.4.b.4,Speech Recognition,0.003914188551035345,0.0031299022433034064,r2,-0.021909261192759655,-1,decreases_teleworkability
4.A.3.b.5,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,0.003912404533408751,0.0037333049149177234,r2,-0.36122599061150706,-1,decreases_teleworkability
4.A.3.b.4,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,0.0038703348211516614,0.002194908822269892,r2,-0.48898264114304685,-1,decreases_teleworkability
2.B.3.c,2.B.3.c,Equipment Selection,0.0037043365800921075,0.0024970914511336815,r2,-0.21662887811913725,-1,decreases_teleworkability
4.A.4.b.5,4.A.4.b.5,Coaching and Developing Others,0.003701440729723008,0.0029118069508186407,r2,0.011204286099772599,1,increases_teleworkability
1.A.4.a.1,1.A.4.a.1,Near Vision,0.0036148762822407364,0.0017809072012865857,r2,0.09914507216586438,1,increases_teleworkability
1.A.4.a.6,1.A.4.a.6,Depth Perception,0.0035964235320569346,0.0027496072114908342,r2,-0.24971692062704126,-1,decreases_teleworkability
2.B.1.d,2.B.1.d,Negotiation,0.0035304285401108353,0.0025302162826574604,r2,0.17051299324550484,1,increases_teleworkability
1.A.1.a.1,1.A.1.a.1,Oral Comprehension,0.003527785134464371,0.0017758594777336767,r2,0.14055618797111724,1,increases_teleworkability
2.A.1.b,2.A.1.b,Active Listening,0.003507490543953507,0.001742952300233336,r2,0.1318036907197468,1,increases_teleworkability
4.A.4.a.6,4.A.4.a.6,Selling or Influencing Others,0.0034744554592063535,0.0029280634892441594,r2,0.2129899437662887,1,increases_teleworkability
2.A.2.b,2.A.2.b,Active Learning,0.003354267434601204,0.0027739707104350365,r2,0.17050788486396248,1,increases_teleworkability
2.B.5.d,2.B.5.d,Management of Personnel Resources,0.0032344159099760975,0.0024984642672726707,r2,0.04555043683989718,1,increases_teleworkability
2.A.1.f,2.A.1.f,Science,0.0031898324220406226,0.002470670218974902,r2,-0.04376431724947361,-1,decreases_teleworkability
2.A.2.a,2.A.2.a,Critical Thinking,0.003121168827506315,0.0023676214396961214,r2,0.2539003603360935,1,increases_teleworkability
4.A.2.a.1,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",0.0031145178145927455,0.0021632442088506563,r2,0.004264737678831787,1,increases_teleworkability
2.B.3.a,2.B.3.a,Operations Analysis,0.0029807652449692448,0.002163947409574829,r2,0.26222734093885247,1,increases_teleworkability
4.A.2.b.1,4.A.2.b.1,Making Decisions and Solving Problems,0.002903475488113496,0.0022873271915873515,r2,0.19327719357980377,1,increases_teleworkability
4.A.1.a.2,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",0.0028784676170717843,0.001797049888424107,r2,-0.28237422466098144,-1,decreases_teleworkability
2.B.5.c,2.B.5.c,Management of Material Resources,0.0028386871464272123,0.0012652279768129882,r2,-0.003726824706898624,-1,decreases_teleworkability
1.A.4.b.5,1.A.4.b.5,Speech Clarity,0.0028349995138989195,0.002084888180431954,r2,0.14582264190184216,1,increases_teleworkability
2.A.1.d,2.A.1.d,Speaking,0.0026745353987405783,0.0010875480755346723,r2,0.17948955165215458,1,increases_teleworkability
2.B.1.f,2.B.1.f,Service Orientation,0.0026127326981999362,0.000980329249672296,r2,-0.17030312449395285,-1,decreases_teleworkability
4.A.1.b.2,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",0.002569861561094137,0.002620935705140681,r2,-0.4574339675297511,-1,decreases_teleworkability
2.A.2.d,2.A.2.d,Monitoring,0.002555811417764611,0.0023921756552526706,r2,-0.09657580134025495,-1,decreases_teleworkability
1.A.1.g.1,1.A.1.g.1,Selective Attention,0.0024869933405195933,0.0014531086357789213,r2,-0.1581148633912505,-1,decreases_teleworkability
2.B.1.e,2.B.1.e,Instructing,0.0024861121630899855,0.0019479553276196104,r2,0.02672143459150822,1,increases_teleworkability
1.A.1.d.1,1.A.1.d.1,Memorization,0.002452033829854723,0.0012658304745383653,r2,0.06631209708734674,1,increases_teleworkability
1.A.1.b.6,1.A.1.b.6,Information Ordering,0.0023748047170414357,0.0012180107198139778,r2,0.02007835879843808,1,increases_teleworkability
1.A.1.c.1,1.A.1.c.1,Mathematical Reasoning,0.00235709596557915,0.001117701399970339,r2,0.21329769302533044,1,increases_teleworkability
2.B.3.b,2.B.3.b,Technology Design,0.0023490548020281476,0.0018035232347824782,r2,0.13390078116874082,1,increases_teleworkability
1.A.4.a.3,1.A.4.a.3,Visual Color Discrimination,0.0023267611292218096,0.001337069171886729,r2,-0.19045703317740417,-1,decreases_teleworkability
2.B.3.k,2.B.3.k,Troubleshooting,0.002190973049253538,0.0013723230481153426,r2,-0.26965797359611954,-1,decreases_teleworkability
1.A.1.b.7,1.A.1.b.7,Category Flexibility,0.002122291034334485,0.000993380744436434,r2,0.07045852475931348,1,increases_teleworkability
2.B.5.b,2.B.5.b,Management of Financial Resources,0.0020482993250730934,0.0011459069430996172,r2,0.15089200121558574,1,increases_teleworkability
1.A.1.g.2,1.A.1.g.2,Time Sharing,0.001971487040412731,0.001174747981515467,r2,-0.3397694188423749,-1,decreases_teleworkability
2.B.5.a,2.B.5.a,Time Management,0.0016969504187046782,0.0009198484833131016,r2,-0.0037048860110893804,-1,decreases_teleworkability
2.B.4.h,2.B.4.h,Systems Evaluation,0.0016575076280267577,0.0008980528917063912,r2,0.2099800223251091,1,increases_teleworkability
4.A.3.a.4,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",0.0015837053373920613,0.0011096154110885493,r2,-0.3835881571264494,-1,decreases_teleworkability
4.A.4.b.1,4.A.4.b.1,Coordinating the Work and Activities of Others,0.0015139428654977341,0.0008346254925414076,r2,0.04660800441441509,1,increases_teleworkability
1.A.2.a.1,1.A.2.a.1,Arm-Hand Steadiness,0.001424127641144955,0.0013078375380923268,r2,-0.4660610050390019,-1,decreases_teleworkability
1.A.2.c.1,1.A.2.c.1,Reaction Time,0.0014059500538138943,0.0008463678415884801,r2,-0.5429527287709672,-1,decreases_teleworkability
2.A.1.e,2.A.1.e,Mathematics,0.0014023407204423702,0.0007627500389962627,r2,0.2086168606177463,1,increases_teleworkability
1.A.1.a.3,1.A.1.a.3,Oral Expression,0.0013805052282620564,0.0005963352951236289,r2,0.10263268042015496,1,increases_teleworkability
1.A.4.b.3,1.A.4.b.3,Sound Localization,0.0013527846559324463,0.00065547857628242,r2,-0.333069886035973,-1,decreases_teleworkability
1.A.1.f.2,1.A.1.f.2,Visualization,0.001263944801916492,0.0005471923405374168,r2,0.01802195278138119,1,increases_teleworkability
1.A.1.a.2,1.A.1.a.2,Written Comprehension,0.0012444160798912615,0.0004786168422598935,r2,0.27812811152416483,1,increases_teleworkability
2.B.3.m,2.B.3.m,Quality Control Analysis,0.0012301941773665169,0.000582811378063075,r2,-0.22023831928590662,-1,decreases_teleworkability
1.A.3.c.1,1.A.3.c.1,Extent Flexibility,0.0011682922199316545,0.0013279371323479893,r2,-0.5825407758551324,-1,decreases_teleworkability
1.A.4.a.7,1.A.4.a.7,Glare Sensitivity,0.0011519563136088615,0.0007774746872694748,r2,-0.2741726776645206,-1,decreases_teleworkability
2.A.1.c,2.A.1.c,Writing,0.0011500755805913508,0.0008810882640779005,r2,0.2894315477183175,1,increases_teleworkability
2.B.3.g,2.B.3.g,Operations Monitoring,0.001129056415111141,0.0009847467205344352,r2,-0.25105646977094415,-1,decreases_teleworkability
2.B.1.c,2.B.1.c,Persuasion,0.0010058878930473115,0.0004269122142815496,r2,0.17500805089676755,1,increases_teleworkability
1.A.1.b.1,1.A.1.b.1,Fluency of Ideas,0.000936712533273772,0.0008029423632163635,r2,0.26568719820109127,1,increases_teleworkability
1.A.1.f.1,1.A.1.f.1,Spatial Orientation,0.0009315907248213151,0.0004966386997684924,r2,-0.26555628610902027,-1,decreases_teleworkability
1.A.3.a.1,1.A.3.a.1,Static Strength,0.0008874367643457945,0.00069750619165172,r2,-0.6028465851343857,-1,decreases_teleworkability
1.A.2.a.2,1.A.2.a.2,Manual Dexterity,0.000884879380479503,0.0009298779479802177,r2,-0.43585544549861244,-1,decreases_teleworkability
1.A.1.b.3,1.A.1.b.3,Problem Sensitivity,0.000843735816496847,0.000854749718859582,r2,-0.016458596167480678,-1,decreases_teleworkability
1.A.4.a.2,1.A.4.a.2,Far Vision,0.0008103034625053533,0.00042789857985183757,r2,-0.21927250031515982,-1,decreases_teleworkability
2.B.2.i,2.B.2.i,Complex Problem Solving,0.0008064838544368649,0.000409068537737689,r2,0.24510369348354022,1,increases_teleworkability
1.A.1.b.2,1.A.1.b.2,Originality,0.0007385268878592444,0.00048601923843109016,r2,0.22070873539632324,1,increases_teleworkability
2.B.3.h,2.B.3.h,Operation and Control,0.0006991111856534951,0.0007426640088068704,r2,-0.3671361721403357,-1,decreases_teleworkability
2.B.3.l,2.B.3.l,Repairing,0.0006767678730457116,0.0003646373616822518,r2,-0.25040438928101394,-1,decreases_teleworkability
1.A.1.a.4,1.A.1.a.4,Written Expression,0.0006015320951413476,0.00010493500556942869,r2,0.25413046447460913,1,increases_teleworkability
2.B.1.b,2.B.1.b,Coordination,0.0005976096734947649,0.00029256790156479974,r2,-0.04369331891302032,-1,decreases_teleworkability
1.A.1.b.5,1.A.1.b.5,Inductive Reasoning,0.0005939810003586182,0.000478476455796617,r2,0.20867746684194072,1,increases_teleworkability
1.A.3.c.2,1.A.3.c.2,Dynamic Flexibility,0.0004411861522750597,0.0002228334230236939,r2,-0.18958586674189126,-1,decreases_teleworkability
1.A.1.b.4,1.A.1.b.4,Deductive Reasoning,0.00033989002698766744,0.00023447626058341607,r2,0.21028262858350827,1,increases_teleworkability
2.B.3.j,2.B.3.j,Equipment Maintenance,0.0003123626546053834,0.0001321785062515679,r2,-0.25135755695551615,-1,decreases_teleworkability
2.B.3.d,2.B.3.d,Installation,0.00029559493585810454,0.00022137099410067805,r2,-0.0037514335811219554,-1,decreases_teleworkability
2.A.1.a,2.A.1.a,Reading Comprehension,0.00025859996280501023,0.0002477448584585429,r2,0.2628879692943753,1,increases_teleworkability
1.A.4.a.4,1.A.4.a.4,Night Vision,0.00016825841397549664,0.0002697786885687781,r2,-0.31822949752066065,-1,decreases_teleworkability
1.A.3.c.4,1.A.3.c.4,Gross Body Equilibrium,9.110959760237684e-05,0.00016251293847837633,r2,-0.5692348218380161,-1,decreases_teleworkability
1.A.2.c.3,1.A.2.c.3,Speed of Limb Movement,7.193979949283148e-05,-2.9279431283546486e-05,r2,-0.422262059107456,-1,decreases_teleworkability
1.A.4.a.5,1.A.4.a.5,Peripheral Vision,5.116052912382189e-05,4.305712378652737e-05,r2,-0.31403165573313613,-1,decreases_teleworkability
